,Geo,Date_Time,User,Tweet,Language,Location,UserAccountVerified,Tweet_Source,Retweet_Count,Tweet_FavCount
281,,2020-03-14 13:09:15,OkeyoSeith,This is utterly disgusting. How do you protect yourself from an airborne infection while leaving others exposed? Wh… ,en,"Kisumu, Kenya ",False,Twitter for iPhone,0,1
282,,2020-03-14 13:08:58,rickii_n, Wakalee tulkosea nini 🤣🤣🤣If you haven't watched this be sure to watch till the end. #covid19kenya #CoronaVirusUpdates…,en,,False,Twitter for Android,176,0
283,,2020-03-14 13:08:50,ShazyLive," [LIVE] Coronavirus: Real Time Counter, World Map, News - Come hangout and chat - 24x7 live#coronavirus #COVIDー19 #COVID…",en,,False,Twitter Web App,11,0
284,,2020-03-14 13:08:18,Fannaccounnt, Global CoronaVirus Update#COVIDー19 #CoronaVirusUpdates #covid19kenya #coronavirusnz #COVID19Aus #coronavirus #COVID…,en,London ,False,Twitter for Android,6,0
285,,2020-03-14 13:08:06,Raimboooo, Global CoronaVirus Update#COVIDー19 #CoronaVirusUpdates #covid19kenya #coronavirusnz #COVID19Aus #coronavirus #COVID…,en,Germany ,False,Twitter for Android,6,0
286,,2020-03-14 13:07:56,lazziiii, Global CoronaVirus Update#COVIDー19 #CoronaVirusUpdates #covid19kenya #coronavirusnz #COVID19Aus #coronavirus #COVID…,en,Canada ,False,Twitter for Android,6,0
287,,2020-03-14 13:07:53,Ms_Nyambu, Everything good comes from Canada except Justin Bieber🙆🙆#coronaInkenya#covid19kenya ,en,"Mombasa, Kenya",False,Twitter for Android,11,0
288,,2020-03-14 13:07:16,ian_chumba, Kigali Rwanda bus park /station... Just before boarding a bus. Y'all can say shit about Paul Kagame but that dude is ove…,en,"Nairobi, Kenya",False,Twitter for Android,254,0
289,,2020-03-14 13:07:12,LittleeBecks, Who is fooling who?Why would the government LIE! Why would this lady LIE!Jane knows her itinerary and it’s what CS Kagwe…,en,"Karen, Nairobi. Kenya.",False,Twitter for iPhone,115,0
290,,2020-03-14 13:06:46,LabEssay,"2 Chronicles:7.14 ""if My people who are called by My name will humble themselves, and pray and seek My face, and t… ",en,"Chicago, IL",False,Twitter for Android,0,2
291,,2020-03-14 13:06:45,nyandiga001,There is a difference between surgical mask and dust mask. What I’m seeing people walking around in are dust masks… ,en,"Nairobi, Kenya",False,Twitter Web App,1,1
292,,2020-03-14 13:06:41,official____vik,#CoronaVirusUpdates #COVID19 #COVIDー19  #CoronaOutbreak #coronaInkenya #Wuhan #Italy #covid19kenya #coronavirus R… ,en,"Lagos, Nigeria",False,Twitter for Android,2,3
293,,2020-03-14 13:06:22,Globalpoliticss,Global CoronaVirus Update#COVIDー19 #CoronaVirusUpdates #covid19kenya #coronavirusnz #COVID19Aus #coronavirus… ,en,Global,False,Twitter for Android,6,12
